   [VAD] 能量: 55065.76 | 状态: 录音中
   [VAD] 能量: 1851761.60 | 状态: 录音中
   [VAD] 能量: 2151196.80 | 状态: 录音中
   [VAD] 能量: 2355500.80 | 状态: 录音中
   [VAD] 能量: 1594859.90 | 状态: 录音中
   [VAD] 能量: 2426867.80 | 状态: 录音中
   [VAD] 能量: 56.39 | 状态: 录音中
   [VAD] 能量: 1834371.20 | 状态: 录音中
   [VAD] 能量: 826892.60 | 状态: 录音中
   [VAD] 能量: 59.29 | 状态: 录音中
   [VAD] 能量: 2873477.00 | 状态: 录音中
   [VAD] 能量: 1899452.90 | 状态: 录音中
   [VAD] 能量: 1521891.60 | 状态: 录音中
   [VAD] 能量: 2723266.00 | 状态: 录音中
   [VAD] 能量: 892220.60 | 状态: 录音中
   [VAD] 能量: 1218679.00 | 状态: 录音中
   [VAD] 能量: 1818514.96 | 状态: 录音中
   [VAD] 能量: 1697622.04 | 状态: 录音中
   [VAD] 能量: 1258805.00 | 状态: 录音中
   [VAD] 能量: 2194771.00 | 状态: 录音中
   [VAD] 能量: 2083422.56 | 状态: 录音中
   [VAD] 能量: 1549900.20 | 状态: 录音中
   [VAD] 能量: 3361268.00 | 状态: 录音中
   [VAD] 能量: 1630612.40 | 状态: 录音中
   [VAD] 能量: 1695045.00 | 状态: 录音中
   [VAD] 能量: 1930419.10 | 状态: 录音中
   [VAD] 能量: 1272684.50 | 状态: 录音中
   [VAD] 能量: 259638.82 | 状态: 录音中
   [VAD] 能量: 1077378.40 | 状态: 录音中
   [VAD] 能量: 1945166.60 | 状态: 录音中
   [VAD] 能量: 52.27 | 状态: 录音中
   [VAD] 能量: 634309.60 | 状态: 录音中
   [VAD] 能量: 2474945.60 | 状态: 录音中
   [VAD] 能量: 1030587.50 | 状态: 录音中
   [VAD] 能量: 1701434.96 | 状态: 录音中
   [VAD] 能量: 2575250.40 | 状态: 录音中
   [VAD] 能量: 1169139.80 | 状态: 录音中
   [VAD] 能量: 1749244.90 | 状态: 录音中
   [VAD] 能量: 117470.66 | 状态: 录音中
   [VAD] 能量: 167288.38 | 状态: 录音中
   [VAD] 能量: 1357368.10 | 状态: 录音中
   [VAD] 能量: 117350.52 | 状态: 录音中
   [VAD] 能量: 1039877.10 | 状态: 录音中
   [VAD] 能量: 2312604.80 | 状态: 录音中
   [VAD] 能量: 1511347.80 | 状态: 录音中
   [VAD] 能量: 1165925.50 | 状态: 录音中
   [VAD] 能量: 2453089.00 | 状态: 录音中
   [VAD] 能量: 1293621.60 | 状态: 录音中
   [VAD] 能量: 1455660.40 | 状态: 录音中
   [VAD] 能量: 1585127.10 | 状态: 录音中
   [VAD] 能量: 1950158.04 | 状态: 录音中
   [VAD] 能量: 948332.08 | 状态: 录音中
   [VAD] 能量: 1048717.80 | 状态: 录音中
   [VAD] 能量: 2332151.80 | 状态: 录音中
   [VAD] 能量: 510146.74 | 状态: 录音中
   [VAD] 能量: 676336.50 | 状态: 录音中
   [VAD] 能量: 1818057.96 | 状态: 录音中
   [VAD] 能量: 117310.48 | 状态: 录音中
   [VAD] 能量: 285948.28 | 状态: 录音中
   [VAD] 能量: 2874734.00 | 状态: 录音中
   [VAD] 能量: 923035.04 | 状态: 录音中
   [VAD] 能量: 187.07 | 状态: 录音中
   [VAD] 能量: 1836542.04 | 状态: 录音中
   [VAD] 能量: 109142.47 | 状态: 录音中
   [VAD] 能量: 689232.50 | 状态: 录音中
   [VAD] 能量: 1162364.50 | 状态: 录音中
   [VAD] 能量: 752103.70 | 状态: 录音中
   [VAD] 能量: 1990399.80 | 状态: 录音中
   [VAD] 能量: 2803838.00 | 状态: 录音中
   [VAD] 能量: 609784.06 | 状态: 录音中
   [VAD] 能量: 1823854.00 | 状态: 录音中
   [VAD] 能量: 1392909.90 | 状态: 录音中
   [VAD] 能量: 1563.94 | 状态: 录音中
   [VAD] 能量: 140234.74 | 状态: 录音中
   [VAD] 能量: 271800.96 | 状态: 录音中
   [VAD] 能量: 737.01 | 状态: 录音中
   [VAD] 能量: 851.18 | 状态: 录音中
   [VAD] 能量: 1825373.80 | 状态: 录音中
   [VAD] 能量: 164.53 | 状态: 录音中
   [VAD] 能量: 315.92 | 状态: 录音中
   [VAD] 能量: 1529443.80 | 状态: 录音中
   [VAD] 能量: 746423.20 | 状态: 录音中
   [VAD] 能量: 843004.90 | 状态: 录音中
   [VAD] 能量: 2523583.00 | 状态: 录音中
   [VAD] 能量: 1330428.80 | 状态: 录音中
   [VAD] 能量: 1793.67 | 状态: 录音中
   [VAD] 能量: 244506.60 | 状态: 录音中
   [VAD] 能量: 2794.74 | 状态: 录音中
   [VAD] 能量: 255829.64 | 状态: 录音中
   [VAD] 能量: 795279.80 | 状态: 录音中
   [VAD] 能量: 306.43 | 状态: 录音中
   [VAD] 能量: 334954.94 | 状态: 录音中
   [VAD] 能量: 1736970.20 | 状态: 录音中
   [VAD] 能量: 1527990.20 | 状态: 录音中
   [VAD] 能量: 1994287.40 | 状态: 录音中
   [VAD] 能量: 2263311.20 | 状态: 录音中
   [VAD] 能量: 2140233.80 | 状态: 录音中
   [VAD] 能量: 851137.90 | 状态: 录音中
   [VAD] 能量: 2830583.20 | 状态: 录音中
   [VAD] 能量: 1261247.90 | 状态: 录音中
   [VAD] 能量: 1663517.10 | 状态: 录音中
   [VAD] 能量: 1908042.04 | 状态: 录音中
   [VAD] 能量: 1905560.12 | 状态: 录音中
   [VAD] 能量: 305692.34 | 状态: 录音中
   [VAD] 能量: 1763704.48 | 状态: 录音中
   [VAD] 能量: 914169.48 | 状态: 录音中
   [VAD] 能量: 115.65 | 状态: 录音中
   [VAD] 能量: 2885847.20 | 状态: 录音中
   [VAD] 能量: 2145581.20 | 状态: 录音中
   [VAD] 能量: 159.40 | 状态: 录音中
   [VAD] 能量: 1022158.80 | 状态: 录音中
   [VAD] 能量: 431.71 | 状态: 录音中
   [VAD] 能量: 203.38 | 状态: 录音中
   [VAD] 能量: 1594572.40 | 状态: 录音中
   [VAD] 能量: 363.30 | 状态: 录音中
   [VAD] 能量: 1630496.80 | 状态: 录音中
   [VAD] 能量: 1624725.20 | 状态: 录音中
   [VAD] 能量: 1954472.20 | 状态: 录音中
   [VAD] 能量: 1289589.80 | 状态: 录音中
   [VAD] 能量: 2067125.60 | 状态: 录音中
   [VAD] 能量: 758927.60 | 状态: 录音中
   [VAD] 能量: 1788789.04 | 状态: 录音中
   [VAD] 能量: 1356586.00 | 状态: 录音中
   [VAD] 能量: 1215115.80 | 状态: 录音中
   [VAD] 能量: 1014289.48 | 状态: 录音中
   [VAD] 能量: 1822651.10 | 状态: 录音中
   [VAD] 能量: 896073.04 | 状态: 录音中
   [VAD] 能量: 78.85 | 状态: 录音中
   [VAD] 能量: 2177284.80 | 状态: 录音中
   [VAD] 能量: 1121879.60 | 状态: 录音中
   [VAD] 能量: 162.71 | 状态: 录音中
   [VAD] 能量: 2922175.60 | 状态: 录音中
   [VAD] 能量: 900229.00 | 状态: 录音中
   [VAD] 能量: 184075.70 | 状态: 录音中
   [VAD] 能量: 2886249.20 | 状态: 录音中
   [VAD] 能量: 406782.74 | 状态: 录音中
   [VAD] 能量: 466.17 | 状态: 录音中
   [VAD] 能量: 1151334.90 | 状态: 录音中
   [VAD] 能量: 598.92 | 状态: 录音中
   [VAD] 能量: 1275867.50 | 状态: 录音中
   [VAD] 能量: 652253.80 | 状态: 录音中
   [VAD] 能量: 393120.00 | 状态: 录音中
   [VAD] 能量: 1692538.00 | 状态: 录音中
   [VAD] 能量: 1289058.00 | 状态: 录音中
   [VAD] 能量: 1157798.80 | 状态: 录音中
   [VAD] 能量: 1720136.20 | 状态: 录音中
   [VAD] 能量: 1058527.90 | 状态: 录音中
   [VAD] 能量: 1506372.80 | 状态: 录音中
   [VAD] 能量: 369490.10 | 状态: 录音中
   [VAD] 能量: 2245869.80 | 状态: 录音中
   [VAD] 能量: 1479200.80 | 状态: 录音中
   [VAD] 能量: 62.82 | 状态: 录音中
   [VAD] 能量: 2006255.80 | 状态: 录音中
   [VAD] 能量: 501631.76 | 状态: 录音中
   [VAD] 能量: 504389.50 | 状态: 录音中
   [VAD] 能量: 1793139.40 | 状态: 录音中
   [VAD] 能量: 448266.86 | 状态: 录音中
   [VAD] 能量: 310.36 | 状态: 录音中
   [VAD] 能量: 2456305.20 | 状态: 录音中
   [VAD] 能量: 815063.26 | 状态: 录音中
   [VAD] 能量: 1072140.80 | 状态: 录音中
   [VAD] 能量: 402.12 | 状态: 录音中
   [VAD] 能量: 110.61 | 状态: 录音中
   [VAD] 能量: 1388431.80 | 状态: 录音中
   [VAD] 能量: 943127.76 | 状态: 录音中
   [VAD] 能量: 1273849.10 | 状态: 录音中
   [VAD] 能量: 2398209.00 | 状态: 录音中
   [VAD] 能量: 967994.60 | 状态: 录音中
   [VAD] 能量: 1787229.44 | 状态: 录音中
   [VAD] 能量: 1269169.20 | 状态: 录音中
   [VAD] 能量: 1723935.60 | 状态: 录音中
   [VAD] 能量: 1596912.50 | 状态: 录音中
   [VAD] 能量: 518114.60 | 状态: 录音中
   [VAD] 能量: 2423897.00 | 状态: 录音中
   [VAD] 能量: 1171675.10 | 状态: 录音中
   [VAD] 能量: 225757.38 | 状态: 录音中
   [VAD] 能量: 1781894.04 | 状态: 录音中
   [VAD] 能量: 349927.36 | 状态: 录音中
   [VAD] 能量: 245746.46 | 状态: 录音中
   [VAD] 能量: 1559456.80 | 状态: 录音中
   [VAD] 能量: 424825.32 | 状态: 录音中
   [VAD] 能量: 370.56 | 状态: 录音中
   [VAD] 能量: 2585166.40 | 状态: 录音中
   [VAD] 能量: 732224.06 | 状态: 录音中
   [VAD] 能量: 1140054.80 | 状态: 录音中
   [VAD] 能量: 308149.56 | 状态: 录音中
   [VAD] 能量: 579751.20 | 状态: 录音中
   [VAD] 能量: 2009940.00 | 状态: 录音中
   [VAD] 能量: 690856.22 | 状态: 录音中
   [VAD] 能量: 1526409.80 | 状态: 录音中
   [VAD] 能量: 1843429.20 | 状态: 录音中
   [VAD] 能量: 1329550.40 | 状态: 录音中
   [VAD] 能量: 1540736.00 | 状态: 录音中
   [VAD] 能量: 684048.30 | 状态: 录音中
   [VAD] 能量: 1719057.00 | 状态: 录音中
   [VAD] 能量: 1242469.50 | 状态: 录音中
   [VAD] 能量: 501567.40 | 状态: 录音中
   [VAD] 能量: 2249740.80 | 状态: 录音中
   [VAD] 能量: 1007933.48 | 状态: 录音中
   [VAD] 能量: 781080.92 | 状态: 录音中
   [VAD] 能量: 1349953.40 | 状态: 录音中
   [VAD] 能量: 1067920.10 | 状态: 录音中
   [VAD] 能量: 296676.22 | 状态: 录音中
   [VAD] 能量: 1834297.80 | 状态: 录音中
   [VAD] 能量: 1134096.10 | 状态: 录音中
   [VAD] 能量: 273314.56 | 状态: 录音中
   [VAD] 能量: 2637534.80 | 状态: 录音中
   [VAD] 能量: 750416.70 | 状态: 录音中
   [VAD] 能量: 1231697.10 | 状态: 录音中
   [VAD] 能量: 381730.10 | 状态: 录音中
   [VAD] 能量: 590951.72 | 状态: 录音中
   [VAD] 能量: 1419806.50 | 状态: 录音中
   [VAD] 能量: 996081.70 | 状态: 录音中
   [VAD] 能量: 736813.92 | 状态: 录音中
   [VAD] 能量: 1669948.60 | 状态: 录音中
   [VAD] 能量: 1332131.60 | 状态: 录音中
   [VAD] 能量: 515273.02 | 状态: 录音中
   [VAD] 能量: 1635968.80 | 状态: 录音中
   [VAD] 能量: 1633083.10 | 状态: 录音中
   [VAD] 能量: 750296.50 | 状态: 录音中
   [VAD] 能量: 1444515.90 | 状态: 录音中
   [VAD] 能量: 1346969.00 | 状态: 录音中
   [VAD] 能量: 1098382.80 | 状态: 录音中
   [VAD] 能量: 437570.86 | 状态: 录音中
   [VAD] 能量: 1958550.88 | 状态: 录音中
   [VAD] 能量: 1248604.40 | 状态: 录音中
   [VAD] 能量: 822440.10 | 状态: 录音中
   [VAD] 能量: 2127515.60 | 状态: 录音中
   [VAD] 能量: 339992.00 | 状态: 录音中
   [VAD] 能量: 915481.10 | 状态: 录音中
   [VAD] 能量: 2158608.40 | 状态: 录音中
   [VAD] 能量: 284190.10 | 状态: 录音中
   [VAD] 能量: 33905.18 | 状态: 录音中
   [VAD] 能量: 58933.38 | 状态: 录音中
   [VAD] 能量: 1139181.20 | 状态: 录音中
   [VAD] 能量: 572849.72 | 状态: 录音中
   [VAD] 能量: 804530.22 | 状态: 录音中
   [VAD] 能量: 1204325.80 | 状态: 录音中
   [VAD] 能量: 1993607.00 | 状态: 录音中
   [VAD] 能量: 855377.28 | 状态: 录音中
   [VAD] 能量: 1124407.90 | 状态: 录音中
   [VAD] 能量: 2028413.80 | 状态: 录音中
   [VAD] 能量: 1115953.50 | 状态: 录音中
   [VAD] 能量: 708656.72 | 状态: 录音中
   [VAD] 能量: 1259682.90 | 状态: 录音中
   [VAD] 能量: 1901254.88 | 状态: 录音中
   [VAD] 能量: 351073.20 | 状态: 录音中
