E:\PetAI\Project\.venv\Scripts\python.exe E:\PetAI\Project\cleanbot\capture_img_client.py
灰度图像接收客户端
服务器: 192.168.4.1:5000
----------------------------------------
尝试连接到 192.168.4.1:5000
连接成功!
图像将保存到: FRAME_QQVGA
开始接收灰度图像...
按 Ctrl+C 停止接收

  -> 保存第 1 帧: FRAME_QQVGA/frame_000001_20260213_120644.png (4.1 KB)
  -> 保存第 2 帧: FRAME_QQVGA/frame_000002_20260213_120644.png (13.5 KB)
  -> 保存第 3 帧: FRAME_QQVGA/frame_000003_20260213_120644.png (13.6 KB)
  -> 保存第 4 帧: FRAME_QQVGA/frame_000004_20260213_120644.png (13.5 KB)
  -> 保存第 5 帧: FRAME_QQVGA/frame_000005_20260213_120644.png (13.5 KB)
[12:06:45] 接收: 14帧 | FPS:  14 | 已保存: 13张 | 速率:  239.1 KB/s
[12:07:24] 接收: 504帧 | FPS:  13 | 已保存: 503张 | 速率:  232.2 KB/s
[12:07:25] 接收: 515帧 | FPS:  11 | 已保存: 514张 | 速率:  231.5 KB/s
[12:07:26] 接收: 528帧 | FPS:  13 | 已保存: 527张 | 速率:  231.6 KB/s
[12:07:27] 接收: 541帧 | FPS:  13 | 已保存: 540张 | 速率:  231.6 KB/s
[12:07:28] 接收: 554帧 | FPS:  13 | 已保存: 553张 | 速率:  231.7 KB/s
[12:07:29] 接收: 567帧 | FPS:  13 | 已保存: 566张 | 速率:  232.0 KB/s
[12:07:30] 接收: 579帧 | FPS:  12 | 已保存: 578张 | 速率:  231.7 KB/s
[12:07:31] 接收: 592帧 | FPS:  13 | 已保存: 591张 | 速率:  231.9 KB/s
[12:07:32] 接收: 605帧 | FPS:  13 | 已保存: 604张 | 速率:  232.1 KB/s
[12:07:34] 接收: 618帧 | FPS:  13 | 已保存: 617张 | 速率:  231.9 KB/s
[12:07:35] 接收: 632帧 | FPS:  14 | 已保存: 631张 | 速率:  232.1 KB/s
[12:07:36] 接收: 645帧 | FPS:  13 | 已保存: 644张 | 速率:  232.2 KB/s
[12:07:37] 接收: 658帧 | FPS:  13 | 已保存: 657张 | 速率:  232.3 KB/s
[12:07:38] 接收: 670帧 | FPS:  12 | 已保存: 669张 | 速率:  232.1 KB/s
[12:07:39] 接收: 683帧 | FPS:  13 | 已保存: 682张 | 速率:  232.1 KB/s
[12:07:40] 接收: 696帧 | FPS:  13 | 已保存: 695张 | 速率:  232.0 KB/s
[12:07:41] 接收: 709帧 | FPS:  13 | 已保存: 708张 | 速率:  232.0 KB/s
[12:07:42] 接收: 722帧 | FPS:  13 | 已保存: 721张 | 速率:  232.1 KB/s
[12:07:43] 接收: 735帧 | FPS:  13 | 已保存: 734张 | 速率:  232.1 KB/s
[12:07:44] 接收: 749帧 | FPS:  14 | 已保存: 748张 | 速率:  232.2 KB/s
[12:07:45] 接收: 762帧 | FPS:  13 | 已保存: 761张 | 速率:  232.2 KB/s
[12:07:46] 接收: 775帧 | FPS:  13 | 已保存: 774张 | 速率:  232.2 KB/s
[12:07:47] 接收: 788帧 | FPS:  13 | 已保存: 787张 | 速率:  232.3 KB/s
[12:07:48] 接收: 801帧 | FPS:  13 | 已保存: 800张 | 速率:  232.4 KB/s
[12:07:49] 接收: 814帧 | FPS:  13 | 已保存: 813张 | 速率:  232.2 KB/s
[12:07:50] 接收: 823帧 | FPS:   9 | 已保存: 822张 | 速率:  230.9 KB/s
[12:07:51] 接收: 834帧 | FPS:  11 | 已保存: 833张 | 速率:  230.4 KB/s
[12:07:53] 接收: 847帧 | FPS:  13 | 已保存: 846张 | 速率:  230.5 KB/s
[12:07:54] 接收: 861帧 | FPS:  14 | 已保存: 860张 | 速率:  230.6 KB/s
[12:07:55] 接收: 874帧 | FPS:  13 | 已保存: 873张 | 速率:  230.7 KB/s
[12:07:56] 接收: 886帧 | FPS:  12 | 已保存: 885张 | 速率:  230.5 KB/s
[12:07:57] 接收: 899帧 | FPS:  13 | 已保存: 898张 | 速率:  230.6 KB/s
[12:07:58] 接收: 913帧 | FPS:  14 | 已保存: 912张 | 速率:  230.7 KB/s
[12:07:59] 接收: 926帧 | FPS:  13 | 已保存: 925张 | 速率:  230.8 KB/s
[12:08:00] 接收: 939帧 | FPS:  13 | 已保存: 938张 | 速率:  230.7 KB/s
[12:08:01] 接收: 952帧 | FPS:  13 | 已保存: 951张 | 速率:  230.9 KB/s
[12:08:02] 接收: 966帧 | FPS:  14 | 已保存: 965张 | 速率:  230.9 KB/s
[12:08:03] 接收: 979帧 | FPS:  13 | 已保存: 978张 | 速率:  230.9 KB/s
[12:08:04] 接收: 992帧 | FPS:  13 | 已保存: 991张 | 速率:  230.9 KB/s
[12:08:05] 接收: 1005帧 | FPS:  13 | 已保存: 1004张 | 速率:  230.9 KB/s
[12:08:06] 接收: 1018帧 | FPS:  13 | 已保存: 1017张 | 速率:  231.0 KB/s
[12:08:07] 接收: 1031帧 | FPS:  13 | 已保存: 1030张 | 速率:  231.0 KB/s
[12:08:08] 接收: 1045帧 | FPS:  14 | 已保存: 1044张 | 速率:  231.1 KB/s
[12:08:09] 接收: 1055帧 | FPS:  10 | 已保存: 1054张 | 速率:  230.5 KB/s
[12:08:10] 接收: 1068帧 | FPS:  13 | 已保存: 1067张 | 速率:  230.6 KB/s
[12:08:12] 接收: 1081帧 | FPS:  13 | 已保存: 1080张 | 速率:  230.6 KB/s
[12:08:13] 接收: 1094帧 | FPS:  13 | 已保存: 1093张 | 速率:  230.6 KB/s
[12:08:14] 接收: 1108帧 | FPS:  14 | 已保存: 1107张 | 速率:  230.8 KB/s
[12:08:15] 接收: 1120帧 | FPS:  12 | 已保存: 1119张 | 速率:  230.8 KB/s
[12:08:16] 接收: 1133帧 | FPS:  13 | 已保存: 1132张 | 速率:  230.8 KB/s
[12:08:17] 接收: 1147帧 | FPS:  14 | 已保存: 1146张 | 速率:  231.0 KB/s
[12:08:18] 接收: 1160帧 | FPS:  13 | 已保存: 1159张 | 速率:  230.9 KB/s
[12:08:19] 接收: 1173帧 | FPS:  13 | 已保存: 1172张 | 速率:  230.8 KB/s
[12:08:20] 接收: 1186帧 | FPS:  13 | 已保存: 1185张 | 速率:  230.9 KB/s
[12:08:21] 接收: 1199帧 | FPS:  13 | 已保存: 1198张 | 速率:  230.7 KB/s
[12:08:22] 接收: 1213帧 | FPS:  14 | 已保存: 1212张 | 速率:  230.8 KB/s
[12:08:23] 接收: 1227帧 | FPS:  14 | 已保存: 1226张 | 速率:  230.9 KB/s
[12:08:24] 接收: 1240帧 | FPS:  13 | 已保存: 1239张 | 速率:  230.8 KB/s
[12:08:25] 接收: 1253帧 | FPS:  13 | 已保存: 1252张 | 速率:  230.8 KB/s
[12:08:26] 接收: 1265帧 | FPS:  12 | 已保存: 1264张 | 速率:  230.7 KB/s
[12:08:27] 接收: 1278帧 | FPS:  13 | 已保存: 1277张 | 速率:  230.8 KB/s
[12:08:29] 接收: 1292帧 | FPS:  14 | 已保存: 1291张 | 速率:  230.8 KB/s
[12:08:30] 接收: 1301帧 | FPS:   9 | 已保存: 1300张 | 速率:  228.7 KB/s
[12:08:31] 接收: 1309帧 | FPS:   8 | 已保存: 1308张 | 速率:  227.7 KB/s
[12:08:32] 接收: 1315帧 | FPS:   6 | 已保存: 1314张 | 速率:  226.6 KB/s
[12:08:33] 接收: 1326帧 | FPS:  11 | 已保存: 1325张 | 速率:  226.3 KB/s
[12:08:34] 接收: 1339帧 | FPS:  13 | 已保存: 1338张 | 速率:  226.4 KB/s
[12:08:36] 接收: 1351帧 | FPS:  12 | 已保存: 1350张 | 速率:  226.4 KB/s
[12:08:37] 接收: 1364帧 | FPS:  13 | 已保存: 1363张 | 速率:  226.5 KB/s
[12:08:38] 接收: 1377帧 | FPS:  13 | 已保存: 1376张 | 速率:  226.6 KB/s
[12:08:39] 接收: 1389帧 | FPS:  12 | 已保存: 1388张 | 速率:  226.6 KB/s
[12:08:40] 接收: 1402帧 | FPS:  13 | 已保存: 1401张 | 速率:  226.6 KB/s
[12:08:41] 接收: 1415帧 | FPS:  13 | 已保存: 1414张 | 速率:  226.8 KB/s
[12:08:42] 接收: 1428帧 | FPS:  13 | 已保存: 1427张 | 速率:  226.8 KB/s
[12:08:43] 接收: 1440帧 | FPS:  12 | 已保存: 1439张 | 速率:  226.8 KB/s
[12:08:44] 接收: 1453帧 | FPS:  13 | 已保存: 1452张 | 速率:  226.9 KB/s
[12:08:45] 接收: 1467帧 | FPS:  14 | 已保存: 1466张 | 速率:  227.0 KB/s
[12:08:46] 接收: 1480帧 | FPS:  13 | 已保存: 1479张 | 速率:  227.1 KB/s
[12:08:47] 接收: 1493帧 | FPS:  13 | 已保存: 1492张 | 速率:  227.1 KB/s
[12:08:48] 接收: 1506帧 | FPS:  13 | 已保存: 1505张 | 速率:  227.2 KB/s
[12:08:49] 接收: 1518帧 | FPS:  12 | 已保存: 1517张 | 速率:  227.2 KB/s
[12:08:50] 接收: 1531帧 | FPS:  13 | 已保存: 1530张 | 速率:  227.3 KB/s
[12:08:51] 接收: 1544帧 | FPS:  13 | 已保存: 1543张 | 速率:  227.2 KB/s
[12:08:52] 接收: 1557帧 | FPS:  13 | 已保存: 1556张 | 速率:  227.3 KB/s
[12:08:53] 接收: 1570帧 | FPS:  13 | 已保存: 1569张 | 速率:  227.4 KB/s
[12:08:54] 接收: 1583帧 | FPS:  13 | 已保存: 1582张 | 速率:  227.5 KB/s
[12:08:55] 接收: 1596帧 | FPS:  13 | 已保存: 1595张 | 速率:  227.5 KB/s
[12:08:56] 接收: 1609帧 | FPS:  13 | 已保存: 1608张 | 速率:  227.6 KB/s
[12:08:57] 接收: 1622帧 | FPS:  13 | 已保存: 1621张 | 速率:  227.6 KB/s
[12:08:58] 接收: 1635帧 | FPS:  13 | 已保存: 1634张 | 速率:  227.6 KB/s
[12:08:59] 接收: 1649帧 | FPS:  14 | 已保存: 1648张 | 速率:  227.8 KB/s
[12:09:00] 接收: 1662帧 | FPS:  13 | 已保存: 1661张 | 速率:  227.9 KB/s
[12:09:01] 接收: 1674帧 | FPS:  12 | 已保存: 1673张 | 速率:  227.8 KB/s
[12:09:02] 接收: 1687帧 | FPS:  13 | 已保存: 1686张 | 速率:  227.9 KB/s
[12:09:03] 接收: 1700帧 | FPS:  13 | 已保存: 1699张 | 速率:  227.9 KB/s
[12:09:05] 接收: 1713帧 | FPS:  13 | 已保存: 1712张 | 速率:  228.0 KB/s
[12:09:06] 接收: 1726帧 | FPS:  13 | 已保存: 1725张 | 速率:  228.0 KB/s
[12:09:07] 接收: 1739帧 | FPS:  13 | 已保存: 1738张 | 速率:  228.0 KB/s
[12:09:08] 接收: 1752帧 | FPS:  13 | 已保存: 1751张 | 速率:  228.0 KB/s
[12:09:09] 接收: 1765帧 | FPS:  13 | 已保存: 1764张 | 速率:  228.0 KB/s
[12:09:10] 接收: 1778帧 | FPS:  13 | 已保存: 1777张 | 速率:  228.1 KB/s
[12:09:11] 接收: 1792帧 | FPS:  14 | 已保存: 1791张 | 速率:  228.2 KB/s
[12:09:12] 接收: 1804帧 | FPS:  12 | 已保存: 1803张 | 速率:  228.1 KB/s
[12:09:13] 接收: 1817帧 | FPS:  13 | 已保存: 1816张 | 速率:  228.1 KB/s
[12:09:14] 接收: 1830帧 | FPS:  13 | 已保存: 1829张 | 速率:  228.2 KB/s
[12:09:15] 接收: 1843帧 | FPS:  13 | 已保存: 1842张 | 速率:  228.2 KB/s
[12:09:16] 接收: 1856帧 | FPS:  13 | 已保存: 1855张 | 速率:  228.3 KB/s
[12:09:17] 接收: 1868帧 | FPS:  12 | 已保存: 1867张 | 速率:  228.2 KB/s
[12:09:18] 接收: 1882帧 | FPS:  14 | 已保存: 1881张 | 速率:  228.3 KB/s
[12:09:19] 接收: 1895帧 | FPS:  13 | 已保存: 1894张 | 速率:  228.3 KB/s
[12:09:20] 接收: 1908帧 | FPS:  13 | 已保存: 1907张 | 速率:  228.4 KB/s
[12:09:21] 接收: 1921帧 | FPS:  13 | 已保存: 1920张 | 速率:  228.4 KB/s
[12:09:22] 接收: 1934帧 | FPS:  13 | 已保存: 1933张 | 速率:  228.4 KB/s
[12:09:23] 接收: 1948帧 | FPS:  14 | 已保存: 1947张 | 速率:  228.5 KB/s
[12:09:25] 接收: 1962帧 | FPS:  14 | 已保存: 1961张 | 速率:  228.5 KB/s
[12:09:26] 接收: 1976帧 | FPS:  14 | 已保存: 1975张 | 速率:  228.6 KB/s
[12:09:27] 接收: 1989帧 | FPS:  13 | 已保存: 1988张 | 速率:  228.7 KB/s
[12:09:28] 接收: 2002帧 | FPS:  13 | 已保存: 2001张 | 速率:  228.7 KB/s
[12:09:29] 接收: 2014帧 | FPS:  12 | 已保存: 2013张 | 速率:  228.7 KB/s
[12:09:30] 接收: 2024帧 | FPS:  10 | 已保存: 2023张 | 速率:  228.4 KB/s
[12:09:31] 接收: 2027帧 | FPS:   3 | 已保存: 2026张 | 速率:  227.3 KB/s
[12:09:32] 接收: 2033帧 | FPS:   6 | 已保存: 2032张 | 速率:  226.6 KB/s
[12:09:33] 接收: 2043帧 | FPS:  10 | 已保存: 2042张 | 速率:  226.2 KB/s
[12:09:34] 接收: 2056帧 | FPS:  13 | 已保存: 2055张 | 速率:  226.3 KB/s
[12:09:35] 接收: 2069帧 | FPS:  13 | 已保存: 2068张 | 速率:  226.4 KB/s
[12:09:36] 接收: 2083帧 | FPS:  14 | 已保存: 2082张 | 速率:  226.5 KB/s
[12:09:37] 接收: 2096帧 | FPS:  13 | 已保存: 2095张 | 速率:  226.5 KB/s
[12:09:38] 接收: 2109帧 | FPS:  13 | 已保存: 2108张 | 速率:  226.6 KB/s
[12:09:39] 接收: 2122帧 | FPS:  13 | 已保存: 2121张 | 速率:  226.6 KB/s
[12:09:40] 接收: 2135帧 | FPS:  13 | 已保存: 2134张 | 速率:  226.6 KB/s
[12:09:41] 接收: 2148帧 | FPS:  13 | 已保存: 2147张 | 速率:  226.6 KB/s
[12:09:42] 接收: 2162帧 | FPS:  14 | 已保存: 2161张 | 速率:  226.8 KB/s
[12:09:43] 接收: 2175帧 | FPS:  13 | 已保存: 2174张 | 速率:  226.8 KB/s
[12:09:44] 接收: 2187帧 | FPS:  12 | 已保存: 2186张 | 速率:  226.8 KB/s
[12:09:46] 接收: 2200帧 | FPS:  13 | 已保存: 2199张 | 速率:  226.8 KB/s
[12:09:47] 接收: 2213帧 | FPS:  13 | 已保存: 2212张 | 速率:  226.8 KB/s
[12:09:48] 接收: 2226帧 | FPS:  13 | 已保存: 2225张 | 速率:  226.8 KB/s
[12:09:49] 接收: 2240帧 | FPS:  14 | 已保存: 2239张 | 速率:  226.9 KB/s
[12:09:50] 接收: 2252帧 | FPS:  12 | 已保存: 2251张 | 速率:  226.9 KB/s
[12:09:51] 接收: 2265帧 | FPS:  13 | 已保存: 2264张 | 速率:  226.9 KB/s
[12:09:52] 接收: 2279帧 | FPS:  14 | 已保存: 2278张 | 速率:  227.0 KB/s
[12:09:53] 接收: 2292帧 | FPS:  13 | 已保存: 2291张 | 速率:  227.0 KB/s
[12:09:54] 接收: 2305帧 | FPS:  13 | 已保存: 2304张 | 速率:  227.0 KB/s
[12:09:55] 接收: 2318帧 | FPS:  13 | 已保存: 2317张 | 速率:  227.1 KB/s
[12:09:56] 接收: 2331帧 | FPS:  13 | 已保存: 2330张 | 速率:  227.2 KB/s
[12:09:57] 接收: 2343帧 | FPS:  12 | 已保存: 2342张 | 速率:  227.1 KB/s
[12:09:58] 接收: 2356帧 | FPS:  13 | 已保存: 2355张 | 速率:  227.2 KB/s
[12:09:59] 接收: 2369帧 | FPS:  13 | 已保存: 2368张 | 速率:  227.2 KB/s
[12:10:00] 接收: 2383帧 | FPS:  14 | 已保存: 2382张 | 速率:  227.3 KB/s
[12:10:01] 接收: 2396帧 | FPS:  13 | 已保存: 2395张 | 速率:  227.3 KB/s
[12:10:02] 接收: 2407帧 | FPS:  11 | 已保存: 2406张 | 速率:  227.2 KB/s
[12:10:04] 接收: 2416帧 | FPS:   9 | 已保存: 2415张 | 速率:  226.5 KB/s
接收超时，剩余 532 字节
图像数据接收不完整，重新同步...
尝试重新连接...
尝试连接到 192.168.4.1:5000
连接成功!
[12:10:08] 接收: 2418帧 | FPS:   2 | 已保存: 2417张 | 速率:  221.5 KB/s
[12:10:09] 接收: 2427帧 | FPS:   9 | 已保存: 2426张 | 速率:  221.2 KB/s
[12:10:10] 接收: 2441帧 | FPS:  14 | 已保存: 2440张 | 速率:  221.3 KB/s
[12:10:11] 接收: 2454帧 | FPS:  13 | 已保存: 2453张 | 速率:  221.4 KB/s
[12:10:12] 接收: 2467帧 | FPS:  13 | 已保存: 2466张 | 速率:  221.5 KB/s
[12:10:14] 接收: 2480帧 | FPS:  13 | 已保存: 2479张 | 速率:  221.5 KB/s
[12:10:15] 接收: 2493帧 | FPS:  13 | 已保存: 2492张 | 速率:  221.6 KB/s
[12:10:16] 接收: 2506帧 | FPS:  13 | 已保存: 2505张 | 速率:  221.7 KB/s
[12:10:17] 接收: 2518帧 | FPS:  12 | 已保存: 2517张 | 速率:  221.7 KB/s
[12:10:18] 接收: 2531帧 | FPS:  13 | 已保存: 2530张 | 速率:  221.8 KB/s
[12:10:19] 接收: 2544帧 | FPS:  13 | 已保存: 2543张 | 速率:  221.8 KB/s
[12:10:20] 接收: 2556帧 | FPS:  12 | 已保存: 2555张 | 速率:  221.8 KB/s
[12:10:21] 接收: 2569帧 | FPS:  13 | 已保存: 2568张 | 速率:  221.9 KB/s
[12:10:22] 接收: 2582帧 | FPS:  13 | 已保存: 2581张 | 速率:  222.0 KB/s
[12:10:23] 接收: 2595帧 | FPS:  13 | 已保存: 2594张 | 速率:  222.0 KB/s
[12:10:24] 接收: 2608帧 | FPS:  13 | 已保存: 2607张 | 速率:  222.1 KB/s
[12:10:25] 接收: 2620帧 | FPS:  12 | 已保存: 2619张 | 速率:  222.0 KB/s
[12:10:26] 接收: 2634帧 | FPS:  14 | 已保存: 2633张 | 速率:  222.2 KB/s
[12:10:27] 接收: 2647帧 | FPS:  13 | 已保存: 2646张 | 速率:  222.2 KB/s
[12:10:28] 接收: 2661帧 | FPS:  14 | 已保存: 2660张 | 速率:  222.3 KB/s
[12:10:29] 接收: 2674帧 | FPS:  13 | 已保存: 2673张 | 速率:  222.4 KB/s
[12:10:30] 接收: 2686帧 | FPS:  12 | 已保存: 2685张 | 速率:  222.4 KB/s
[12:10:31] 接收: 2699帧 | FPS:  13 | 已保存: 2698张 | 速率:  222.4 KB/s
[12:10:32] 接收: 2713帧 | FPS:  14 | 已保存: 2712张 | 速率:  222.5 KB/s
[12:10:33] 接收: 2725帧 | FPS:  12 | 已保存: 2724张 | 速率:  222.5 KB/s
[12:10:34] 接收: 2738帧 | FPS:  13 | 已保存: 2737张 | 速率:  222.5 KB/s
[12:10:35] 接收: 2751帧 | FPS:  13 | 已保存: 2750张 | 速率:  222.6 KB/s
[12:10:36] 接收: 2764帧 | FPS:  13 | 已保存: 2763张 | 速率:  222.7 KB/s
[12:10:37] 接收: 2777帧 | FPS:  13 | 已保存: 2776张 | 速率:  222.8 KB/s
[12:10:38] 接收: 2789帧 | FPS:  12 | 已保存: 2788张 | 速率:  222.8 KB/s
[12:10:39] 接收: 2803帧 | FPS:  14 | 已保存: 2802张 | 速率:  222.9 KB/s
[12:10:40] 接收: 2815帧 | FPS:  12 | 已保存: 2814张 | 速率:  222.9 KB/s
[12:10:41] 接收: 2828帧 | FPS:  13 | 已保存: 2827张 | 速率:  222.9 KB/s
[12:10:43] 接收: 2841帧 | FPS:  13 | 已保存: 2840张 | 速率:  223.0 KB/s
[12:10:44] 接收: 2854帧 | FPS:  13 | 已保存: 2853张 | 速率:  223.0 KB/s
[12:10:45] 接收: 2867帧 | FPS:  13 | 已保存: 2866张 | 速率:  223.0 KB/s
[12:10:46] 接收: 2880帧 | FPS:  13 | 已保存: 2879张 | 速率:  223.1 KB/s
[12:10:47] 接收: 2893帧 | FPS:  13 | 已保存: 2892张 | 速率:  223.1 KB/s
[12:10:48] 接收: 2906帧 | FPS:  13 | 已保存: 2905张 | 速率:  223.2 KB/s
[12:10:49] 接收: 2919帧 | FPS:  13 | 已保存: 2918张 | 速率:  223.2 KB/s
[12:10:50] 接收: 2931帧 | FPS:  12 | 已保存: 2930张 | 速率:  223.2 KB/s
[12:10:51] 接收: 2945帧 | FPS:  14 | 已保存: 2944张 | 速率:  223.3 KB/s
[12:10:52] 接收: 2958帧 | FPS:  13 | 已保存: 2957张 | 速率:  223.3 KB/s
[12:10:53] 接收: 2970帧 | FPS:  12 | 已保存: 2969张 | 速率:  223.3 KB/s
[12:10:54] 接收: 2984帧 | FPS:  14 | 已保存: 2983张 | 速率:  223.4 KB/s
[12:10:55] 接收: 2996帧 | FPS:  12 | 已保存: 2995张 | 速率:  223.4 KB/s
[12:10:56] 接收: 3008帧 | FPS:  12 | 已保存: 3007张 | 速率:  223.4 KB/s
[12:10:57] 接收: 3020帧 | FPS:  12 | 已保存: 3019张 | 速率:  223.4 KB/s
[12:10:58] 接收: 3033帧 | FPS:  13 | 已保存: 3032张 | 速率:  223.4 KB/s
[12:10:59] 接收: 3046帧 | FPS:  13 | 已保存: 3045张 | 速率:  223.5 KB/s
[12:11:00] 接收: 3059帧 | FPS:  13 | 已保存: 3058张 | 速率:  223.6 KB/s
[12:11:01] 接收: 3071帧 | FPS:  12 | 已保存: 3070张 | 速率:  223.5 KB/s
[12:11:02] 接收: 3083帧 | FPS:  12 | 已保存: 3082张 | 速率:  223.4 KB/s
[12:11:04] 接收: 3097帧 | FPS:  14 | 已保存: 3096张 | 速率:  223.4 KB/s
[12:11:05] 接收: 3109帧 | FPS:  12 | 已保存: 3108张 | 速率:  223.4 KB/s
[12:11:06] 接收: 3122帧 | FPS:  13 | 已保存: 3121张 | 速率:  223.5 KB/s
[12:11:07] 接收: 3136帧 | FPS:  14 | 已保存: 3135张 | 速率:  223.5 KB/s
[12:11:08] 接收: 3149帧 | FPS:  13 | 已保存: 3148张 | 速率:  223.6 KB/s
[12:11:09] 接收: 3162帧 | FPS:  13 | 已保存: 3161张 | 速率:  223.6 KB/s
[12:11:10] 接收: 3176帧 | FPS:  14 | 已保存: 3175张 | 速率:  223.6 KB/s
[12:11:11] 接收: 3189帧 | FPS:  13 | 已保存: 3188张 | 速率:  223.7 KB/s
[12:11:12] 接收: 3202帧 | FPS:  13 | 已保存: 3201张 | 速率:  223.7 KB/s
[12:11:13] 接收: 3215帧 | FPS:  13 | 已保存: 3214张 | 速率:  223.8 KB/s
[12:11:14] 接收: 3228帧 | FPS:  13 | 已保存: 3227张 | 速率:  223.8 KB/s
[12:11:15] 接收: 3239帧 | FPS:  11 | 已保存: 3238张 | 速率:  223.8 KB/s
[12:11:16] 接收: 3252帧 | FPS:  13 | 已保存: 3251张 | 速率:  223.8 KB/s
[12:11:17] 接收: 3265帧 | FPS:  13 | 已保存: 3264张 | 速率:  223.9 KB/s
[12:11:18] 接收: 3277帧 | FPS:  12 | 已保存: 3276张 | 速率:  223.9 KB/s
[12:11:19] 接收: 3290帧 | FPS:  13 | 已保存: 3289张 | 速率:  223.9 KB/s
[12:11:20] 接收: 3302帧 | FPS:  12 | 已保存: 3301张 | 速率:  223.9 KB/s
